id,user_name,user_privilege,level,reply_count,up_count,down_count,client_type,comment
960728695,阳春晓寒,,lv15,0, , ,Android客户端,樊胜美那是什么妈呀？真是让人颠覆三观啊，真想把她拽出来打一顿，摊上这么偏心的父母，她那哥哥活该是一人渣！！
960660694,,,lv37,0, , ,iPhone客户端,什么时候才有第二部
960604100,想你的每一分钟每一秒,,lv15,0, , ,优酷,还有世界百大DJ里面的曲子，超赞
960601682,想你的每一分钟每一秒,,lv15,0, , ,优酷,欢乐颂太棒了，很现实很喜欢看
960594149,月夜残痕,,lv34,0, , ,iPhone客户端,"<a href=""http:\/\/comments.youku.com\/star_page\/uid_UODc2Mjg=.html"" target=""_blank"">王子文"
960584025,lyp29444670,,lv5,0, , ,优酷,不
960549224,白雪公主43686103,,lv16,0, , ,Android Pad客户端,樊胜美和曲筱筱她妈的睡衣一样😂😂😨
960502389,微信用户147020186326978,,lv4,0, , ,Android Pad客户端,我谁也不喜欢就喜欢我们家荣荣
960421476,优酷用户1470325413128723,,lv1,0, , ,优酷,与生活贴近的电视剧，看的感同身受。
960274818,微信用户1461765106489402,,lv7,0, , ,Android客户端,已转发评论
960271710,微信用户1462001040286425,,lv3,0, , ,Android客户端,一部十分的电视剧！！！！！
960243764,game_jf4zj4,,lv19,0, , ,iPad客户端,喜欢关关
960225374,优酷手机用户_k49wuy1u,,lv20,0, , ,优酷,说好的外国带回来的巧克力，最后还是国产的啊！！！！！
960173870,羽翼42660606,,lv13,1, , ,Android客户端,喜欢曲筱肖
960153280,腾讯用户1469454814616816,,lv7,0, , ,iPad客户端,曲爸像个老流氓
960152887,腾讯用户1469454814616816,,lv7,0, , ,iPad客户端,还是安迪气质好
960125351,铲屎官大将军_,,lv25,0,1, ,优酷iku,出了这剧后，就出了曲筱绡同款连衣裙啊
960101697,优酷用户1463205947762957,,lv15,1, , ,iPhone客户端,除了魏总欢乐颂里面的人我都很喜欢
960093571,优酷用户1469084115474813,,lv5,0, , ,iPad客户端,医院靠kiiiiiiuokkiiyyy又哭又闹欲牙龈炎
960058105,萌萌冰柠,,lv8,0, , ,iPad客户端,筱绡那裙子我好像在哪见过
960042515,微信用户147028115668972,,lv2,0, , ,Android客户端,有第二部吗
959854140,微信用户1466583973227957,,lv2,0, , ,Android客户端,曲筱绡真
959851338,微信用户1466583973227957,,lv2,0, , ,Android客户端,"<img src=""http:\/\/static.youku.com\/v1.0.157\/index\/img\/smiley\/Yo17.gif"" alt=""赞"" title=""赞"" \/>"
959850178,微信用户1466583973227957,,lv2,0, , ,Android客户端,每次都叫她樊姐，还叫小美美眉
959805987,微信用户1469062065012732,,lv6,0, , ,Android客户端,期待欢乐颂二期待包亦凡和安迪在一起
959801546,微信用户1468563580078726,,lv8,0, , ,Android客户端,郑微心中明明还有陈孝正，却和林静结婚，这结局一点都不好
959800923,IOS_NBRnZyUi,,lv23,0, , ,iPad客户端,真好看
959790397,HQ54905888,,lv13,0, , ,Android客户端,看这剧滴女人，女孩偏多吧
959778089,优酷用户1470108352409527,,lv1,0, , ,iPad客户端,天下怎么会有像樊胜美那样的父母？特别是那个妈妈。没有文化，没有教养，重男轻女，极端自私，拿女儿当做提款的机器，没羞没臊的任意践踏自己的女儿。
959705941,黄昏梦丶,,lv18,0, , ,iPad客户端,"<a class=""lxy3"" href=""http:\/\/i.youku.com\/i\/name_.lll"" target=""_blank"" >@.lll"
959700531,优酷用户1467015099171180,,lv9,0, , ,iPad客户端,一
959689934,wsara8,,lv13,0, , ,iPad客户端,好看，喜欢
959629576,腾讯用户1470191880934894,,lv1,0, , ,Android客户端,你要是不喜欢听，别胡说，我就觉得很好听
959590739,-No--Me-,,lv21,0, , ,Android客户端,就是为
959569657,娃娃6699,,lv29,1, , ,优酷,"<a href=""http:\/\/comments.youku.com\/star_page\/uid_UODc2Mjg=.html"" target=""_blank"">王子文"
959480507,阳光后的阴影yueyue,,lv20,0, , ,优酷PC客户端,最近除了欢乐颂一直都没有好剧，
959460236,支付宝用户63688255,,lv13,0, , ,iPad客户端,mmmmmmn
959379725,敖长久1981o86,,lv1,0, , ,Android客户端,r第二轮筛选，居然让三百美女穿上厨师服，在沙漠里用临时搭建成的厨房里一展身手。
959366697,土豆用户_837176879,,lv6,0,1, ,Android客户端,有没有发现姚滨挺帅的
959359981,腾讯用户1468416450041452,,lv1,0, , ,Android客户端,…………
959351014,腾讯用户1469173059787733,,lv3,0, , ,Android客户端,我看的三遍了
959342623,,,lv27,0, , ,Android客户端,不喜欢
959331331,,,lv11,0, , ,优酷PC客户端,好喜欢
959325982,,,lv10,0, , ,Android客户端,超喜欢
959301678,霸气永恒20060441,,lv10,0, , ,iPhone客户端,"<a href=""http:\/\/comments.youku.com\/star_page\/uid_UODg0MTY=.html"" target=""_blank"">杨紫"
959301191,,,lv10,0, , ,Android客户端,尼姑，不给你们见识～！
959295612,腾讯用户1469086504797927,,lv5,0, , ,iPad客户端,已转发评论
959283403,优酷用户1470108352409527,,lv1,0, , ,iPad客户端,太讨厌剧中的那个邱莹莹了。无知、幼稚、任性、没脑子，遇事就会哭，哭的还那么的难看。
959275609,优酷用户1470108352409527,,lv1,0,1, ,优酷移动播放页,特别不喜欢剧中的邱悠悠，甚至讨厌她的出演。无能、幼稚、傻、任性、素质差，演技太差，说她娇生惯养吧，她又不是出生在富裕的家庭。工作上没有脑子，谈个恋爱还被人骗。遇事就知道傻哭，哭的还那么的难看。一点都不懂得人情世故，幼稚的近乎于傻。反正是特讨厌她。
959231268,微信用户1470099042379495,,lv1,0, , ,iPhone客户端,💯
959226616,微信用户1469799804079259,,lv5,0, , ,Android客户端,已转发评论
958993424,腾讯用户1470053639523103,,lv1,1, , ,iPad客户端,我觉得非常好看。。。
958984792,致青春83298923,,lv36,0, , ,iPad客户端,l Li iilk&#039;lkljlk
958983951,优酷手机用户_579ottxq,,lv22,0, , ,iPad客户端,❤
958965848,西游不是大话,,lv20,0, , ,Android客户端,我是看着分数来的
958934751,优酷用户1470037106609214,,lv1,0, , ,iPad客户端,很棒，喜欢。
958921180,优酷用户1470037106609214,,lv1,0, , ,iPad客户端,已转发评论
958920343,优酷用户1470037106609214,,lv1,0, , ,iPad客户端,真的很不错！👍
958742324,1405歌许柳下,,lv3,0, , ,优酷iku,我是安迪小迷妹
958742103,1405歌许柳下,,lv3,0, , ,优酷iku,本来就是为了
958632114,微博用户1469019653899849,,lv5,0, , ,iPhone客户端,哈！不错 这部剧里演员的年龄搭配非常之ok…… 起初看到一群小女生 都不想再看下去了 好在
958616007,腾讯用户1461666715163823,,lv4,0, , ,Android Pad客户端,不喜欢邱莹莹
958533361,微信用户1469965575233251,,lv1,0, , ,Android客户端,都说
958532283,,,lv30,0, , ,iPad客户端,呃，
958514066,微信用户1462162213725550,,lv3,0, , ,Android客户端,樊胜美他爸妈真是太过分了，尤其是他妈，樊胜美她太可怜了
958510433,微信用户1469873514186495,,lv3,0, , ,Android客户端,喜欢小妖精 喜欢到爆 再看一遍
958497521,,,lv9,0, , ,iPad客户端,已转发评论
958417855,腾讯用户1469944604453193,,lv1,0, , ,优酷移动播放页,我喜欢关雎尔，她文静温柔又可爱，而且
958397852,,,lv11,0, , ,Android客户端,"<a href=""http:\/\/comments.youku.com\/star_page\/uid_UNjc2NzY=.html"" target=""_blank"">刘涛"
958396039,,,lv58,0, , ,Android客户端,好看好看
958381067,Memory19469868,,lv2,0, , ,Android客户端,筱 是xiao第三声好不
958334005,入戏太深伤了自己07722633,,lv3,0, , ,iPhone客户端,赞
958239489,月飛雪12430104,,lv23,0, , ,Android客户端,哈哈 土豪夏首尊啊
958232007,那样芬芳87,,lv50,0, , ,Android Pad客户端,看完才知道，好于不好……
958232000,优酷用户1469891475616365,,lv4,0, , ,iPhone客户端,超好看
958195673,,,lv21,0, , ,iPad客户端,呢嘛
958158097,卖萌的柠檬71642876,,lv10,0, , ,Android客户端,听说很好看，所以没事来看看。
958097988,_116796017,,lv12,0, , ,Android客户端,10分？有意思
958036578,一生与你相伴61557004,,lv5,0, , ,Android客户端,"<a href=""http:\/\/comments.youku.com\/star_page\/uid_UNjc2NzY=.html"" target=""_blank"">刘涛"
958011748,,,lv3,0, , ,Android客户端,什么时候播放第二部呢！！
957786952,向日葵开在旧夏天51507078,,lv9,0, , ,优酷PC客户端,这什么歌
957733229,微信用户146781756921063,,lv5,0, , ,Android客户端,看的没尾
957686662,微信用户1469370538141361,,lv5,0, , ,Android客户端,难得一部好电视剧，他\/她们不仅仅是镁光灯下的明星，更是优秀的演员，好演技贴近生活的剧情，不爱追剧的我还真实的看完了
957643485,,,lv4,0, , ,iPhone客户端,觉得欢乐颂挺好看
957544830,萌小媛i_748163509,,lv13,0, , ,优酷,曲筱绡他爸也太嚣张了
957495313,腾讯用户1469763000470544,,lv2,0, , ,优酷移动播放页,taihaokanle
957437403,腾讯用户1468558994436478,,lv8,0, , ,优酷,那鞋子，一下红色一下黑色，穿帮也太严重了吧
957329837,美美乔,,lv50,0, , ,Android客户端,这么好的房子也叫吃苦耐劳呀！我也想吃苦耐劳！富二代你们都去死吧！你们百分之二的人占有世界百分之二百的财富吧！去死！
957324189,t232262792,,lv5,0, , ,Android客户端,不错，还可以！
957263557,空心10039418,,lv6,0, , ,Android客户端,特别喜欢这种电视剧，特别符合现代式的生活，就是生活中什么样的人都有，不同性格的人都可以做最好的朋友，虽然她们都有各自的梦想和追求，真的特别的好看，很感动了
957261985,空心10039418,,lv6,0, , ,Android客户端,特别好看的电视剧，也许你看完也会觉得这就是生活中的自己，真的很棒了，特别赞
957131013,,,lv44,0, , ,Android Pad客户端,最喜欢王柏川和关关😊😊
956975250,微信用户1466127202859548,,lv6,0, , ,Android客户端,怎么还不播放第二部
956942900,学无止境83166137,,lv13,0, , ,Android客户端,还可以
956930964,负薪reading,,lv9,0, , ,Android客户端,好看好看的
956816188,优酷用户861290439,,lv10,0, , ,iPad客户端,ugygggtt
956815215,YT01244944,,lv24,0, , ,Android客户端,处女情结？？excuse me？
956746719,yiyayiyayou227,,lv39,0, , ,iPad客户端,。
956746125,优酷手机用户_4aHZx2tu,,lv8,0, , ,iPad客户端,丨
956715697,放生25472488,,lv9,0, , ,Android客户端,结尾有点草率 我还想看，我已经融入进去了。不要这样草草结束好不好！
956552330,腾讯用户1469628941832268,,lv1,0,1, ,优酷PC客户端,看第二遍了，挺好看的，喜欢涛姐和子文
956331526,又发现了一个课上消遣,,lv5,0, , ,iPad客户端,&#039;
956301165,Trou17645314,,lv5,0, , ,iPhone客户端,喜欢关关，支持一下
956248564,,,lv50,0, , ,iPad客户端,&#039;
956248106,_101032485,,lv7,0, , ,iPad客户端,还有怪怪 价
956247866,,,lv50,0, , ,iPad客户端,。
956246195,_101032485,,lv7,0, , ,iPad客户端,一
956212393,腾讯用户1463155058464573,,lv8,0, , ,Android客户端,第二部啥时候拍啊？
956162730,Yinpoi,,lv40,0, , ,iPad客户端,p
955976052,,,lv28,0, , ,Android客户端,希望欢乐颂继续来。
955966089,,,lv49,0, , ,iPad客户端,PL
955966052,,,lv49,0, , ,iPad客户端,"Ll&#039;,"
955965937,,,lv49,0, , ,iPad客户端,"M.,judging just"
955939614,土豆用户_416762916,,lv10,0, , ,iPhone客户端,喜欢百看不厌
955923090,game_hf4ueq,,lv1,0, , ,Android客户端,★说是四大掌管，其实是比较威风一点的说法，俗气地说，每张沙发为首昂首挺胸坐着的这四人，是竹家四大姨太。
955866930,,,lv12,0, , ,iPhone客户端,讨厌
